format: 1, nTracks: 2, division: 480
note_off - ch:00,  note:41,  vel:64 time:720
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:240
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:240
note_off - ch:00,  note:30,  vel:64 time:0
note_off - ch:00,  note:31,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:0
note_on  - ch:00,  note:31,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:720
note_on  - ch:00,  note:4F,  vel:64 time:0
note_off - ch:00,  note:4F,  vel:64 time:240
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:240
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_off - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:3E,  vel:64 time:0
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:240
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:240
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:44,  vel:64 time:0
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:44,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:240
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:37,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:42,  vel:64 time:0
note_on  - ch:00,  note:4B,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:42,  vel:64 time:0
note_off - ch:00,  note:4B,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3B,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:3B,  vel:64 time:240
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:240
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_on  - ch:00,  note:3B,  vel:64 time:0
note_off - ch:00,  note:37,  vel:64 time:240
note_off - ch:00,  note:3B,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_on  - ch:00,  note:2E,  vel:64 time:0
note_off - ch:00,  note:2E,  vel:64 time:240
note_off - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:2B,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:2B,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_on  - ch:00,  note:29,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:480
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:720
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:240
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:240
note_off - ch:00,  note:2E,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:0
note_on  - ch:00,  note:2E,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:3E,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:960
note_off - ch:00,  note:4D,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:3C,  vel:64 time:240
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:3A,  vel:64 time:0
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3A,  vel:64 time:0
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:3A,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:3A,  vel:64 time:240
note_off - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:46,  vel:64 time:0
note_off - ch:00,  note:46,  vel:64 time:240
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:2D,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:2D,  vel:64 time:240
note_off - ch:00,  note:35,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:240
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_on  - ch:00,  note:32,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_on  - ch:00,  note:30,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_on  - ch:00,  note:2E,  vel:64 time:0
note_off - ch:00,  note:2E,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:2B,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:2B,  vel:64 time:240
note_on  - ch:00,  note:2D,  vel:64 time:0
note_off - ch:00,  note:2D,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:29,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:480
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:720
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:240
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:240
note_off - ch:00,  note:30,  vel:64 time:0
note_off - ch:00,  note:31,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:0
note_on  - ch:00,  note:31,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:720
note_on  - ch:00,  note:4F,  vel:64 time:0
note_off - ch:00,  note:4F,  vel:64 time:240
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:240
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_off - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:3E,  vel:64 time:0
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:240
note_on  - ch:00,  note:51,  vel:64 time:0
note_off - ch:00,  note:51,  vel:64 time:240
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:44,  vel:64 time:0
note_on  - ch:00,  note:4D,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:44,  vel:64 time:0
note_off - ch:00,  note:4D,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:240
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:37,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:42,  vel:64 time:0
note_on  - ch:00,  note:4B,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:42,  vel:64 time:0
note_off - ch:00,  note:4B,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3B,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:3B,  vel:64 time:240
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:240
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:4C,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_on  - ch:00,  note:3B,  vel:64 time:0
note_off - ch:00,  note:37,  vel:64 time:240
note_off - ch:00,  note:3B,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:4C,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_on  - ch:00,  note:2E,  vel:64 time:0
note_off - ch:00,  note:2E,  vel:64 time:240
note_off - ch:00,  note:40,  vel:64 time:0
note_on  - ch:00,  note:2B,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:2B,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_on  - ch:00,  note:29,  vel:64 time:0
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:480
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:35,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:720
note_on  - ch:00,  note:40,  vel:64 time:0
note_off - ch:00,  note:40,  vel:64 time:240
note_on  - ch:00,  note:41,  vel:64 time:0
note_off - ch:00,  note:41,  vel:64 time:240
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:29,  vel:64 time:240
note_off - ch:00,  note:30,  vel:64 time:0
note_off - ch:00,  note:35,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:240
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:46,  vel:64 time:0
note_on  - ch:00,  note:4B,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:46,  vel:64 time:0
note_off - ch:00,  note:4B,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:36,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:4B,  vel:64 time:0
note_off - ch:00,  note:36,  vel:64 time:240
note_on  - ch:00,  note:39,  vel:64 time:0
note_off - ch:00,  note:39,  vel:64 time:240
note_on  - ch:00,  note:3E,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:240
note_on  - ch:00,  note:42,  vel:64 time:0
note_off - ch:00,  note:42,  vel:64 time:240
note_off - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:4B,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_off - ch:00,  note:4A,  vel:64 time:0
note_on  - ch:00,  note:36,  vel:64 time:0
note_on  - ch:00,  note:48,  vel:64 time:0
note_off - ch:00,  note:36,  vel:64 time:240
note_off - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:48,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:46,  vel:64 time:0
note_off - ch:00,  note:46,  vel:64 time:240
note_on  - ch:00,  note:4A,  vel:64 time:0
note_off - ch:00,  note:4A,  vel:64 time:240
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:37,  vel:64 time:240
note_off - ch:00,  note:3E,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:30,  vel:64 time:0
note_on  - ch:00,  note:36,  vel:64 time:0
note_on  - ch:00,  note:3F,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:30,  vel:64 time:240
note_off - ch:00,  note:36,  vel:64 time:0
note_off - ch:00,  note:3F,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:37,  vel:64 time:0
note_on  - ch:00,  note:3E,  vel:64 time:0
note_on  - ch:00,  note:46,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:240
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:240
note_on  - ch:00,  note:3A,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:3A,  vel:64 time:0
note_off - ch:00,  note:46,  vel:64 time:0
note_on  - ch:00,  note:33,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:45,  vel:64 time:0
note_off - ch:00,  note:33,  vel:64 time:240
note_off - ch:00,  note:3C,  vel:64 time:0
note_off - ch:00,  note:45,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:3A,  vel:64 time:0
note_on  - ch:00,  note:43,  vel:64 time:0
note_off - ch:00,  note:3A,  vel:64 time:240
note_on  - ch:00,  note:3E,  vel:64 time:0
note_off - ch:00,  note:3E,  vel:64 time:240
note_on  - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:32,  vel:64 time:240
note_off - ch:00,  note:37,  vel:64 time:0
note_off - ch:00,  note:43,  vel:64 time:0
note_on  - ch:00,  note:32,  vel:64 time:0
note_on  - ch:00,  note:39,  vel:64 time:0
note_on  - ch:00,  note:3C,  vel:64 time:0
note_on  - ch:00,  note:3E,  vel:64 time:0
